ENST00000447771	0
ENST00000329451	2
ENST00000570330	32
ENST00000374450	41
ENST00000529099	7
ENST00000356607	1
ENST00000578434	0
ENST00000547247	0
ENST00000590856	18
ENST00000264972	0
ENST00000473730	0
ENST00000444836	10
ENST00000595541	4
ENST00000583127	1
ENST00000466707	0
ENST00000512242	0
ENST00000600987	0
ENST00000304581	4
ENST00000517393	1
ENST00000297347	34
ENST00000420411	2
ENST00000258455	1
ENST00000216185	11
ENST00000510979	2
ENST00000490121	2
ENST00000481522	0
ENST00000493867	2
ENST00000470209	1
ENST00000487131	1
ENST00000589060	0
ENST00000599097	0
ENST00000407911	0
ENST00000357360	3
ENST00000315436	9
ENST00000622960	0
ENST00000228740	25
ENST00000638069	0
ENST00000426126	19
ENST00000467041	1
ENST00000421694	1
ENST00000506317	0
ENST00000465694	1
ENST00000368302	4
ENST00000221232	44
ENST00000375976	31
ENST00000522321	0
ENST00000463233	10
ENST00000618406	0
ENST00000444214	5
ENST00000511161	0
ENST00000503196	0
ENST00000611722	0
ENST00000537421	2
ENST00000567038	14
ENST00000371377	0
ENST00000391762	27
ENST00000375069	8
ENST00000479961	5
ENST00000230124	12
ENST00000460291	0
ENST00000483805	0
ENST00000446987	2
ENST00000467301	25
ENST00000489372	1
ENST00000466126	0
ENST00000561569	25
ENST00000368149	0
ENST00000359681	2
ENST00000591725	0
ENST00000488381	1
ENST00000505236	17
ENST00000343004	0
ENST00000441657	0
ENST00000620430	8
ENST00000360416	0
ENST00000491010	1
ENST00000377485	1
ENST00000478641	4
ENST00000357949	56
ENST00000527670	4
ENST00000547165	0
ENST00000525513	1
ENST00000549184	1
ENST00000465601	0
ENST00000498738	1
ENST00000457540	1
ENST00000361696	0
ENST00000488329	0
ENST00000474426	2
ENST00000373053	10
ENST00000617586	1
ENST00000552576	0
ENST00000581412	3
ENST00000447318	2
ENST00000379328	0
ENST00000486652	0
ENST00000607836	0
ENST00000476883	2
ENST00000377045	44
ENST00000448552	10
ENST00000360110	2
ENST00000564502	0
ENST00000467105	4
ENST00000428336	1
ENST00000430411	2
ENST00000622509	0
ENST00000216124	107
ENST00000354678	2
ENST00000577436	3
ENST00000295956	0
ENST00000536549	2
ENST00000614565	0
ENST00000592633	3
ENST00000478777	1
ENST00000355773	4
ENST00000576573	2
ENST00000533723	2
ENST00000419868	0
ENST00000379019	93
ENST00000421731	6
ENST00000521675	0
ENST00000586092	24
ENST00000469235	0
ENST00000354179	4
ENST00000552771	0
ENST00000329331	0
ENST00000397311	0
ENST00000545046	1
ENST00000612839	13
ENST00000575397	0
ENST00000575111	77
ENST00000485186	2
ENST00000602243	5
ENST00000414722	0
ENST00000559943	5
ENST00000375812	6
ENST00000367590	2
ENST00000498114	2
ENST00000557912	0
ENST00000410022	5
ENST00000470635	1
ENST00000256592	0
ENST00000609670	0
ENST00000366446	1
ENST00000499370	73
ENST00000404621	7
ENST00000377960	712
ENST00000549373	0
ENST00000503665	0
ENST00000564191	17
ENST00000591415	2
ENST00000432340	0
ENST00000548322	6
ENST00000495497	0
ENST00000568674	460
ENST00000485363	1
ENST00000560013	11
ENST00000558857	6
ENST00000525550	6
ENST00000284727	2
ENST00000588776	2
ENST00000290277	0
ENST00000460577	0
ENST00000483903	3
ENST00000521953	0
ENST00000565877	0
ENST00000370032	0
ENST00000620554	9
ENST00000378251	7
ENST00000534138	2
ENST00000542136	0
ENST00000360806	3
ENST00000521420	0
ENST00000435082	4
ENST00000589881	0
ENST00000558566	13
ENST00000519802	5
ENST00000321599	11
ENST00000533444	6
ENST00000461314	1
ENST00000427274	0
ENST00000394334	9
ENST00000564553	0
ENST00000401418	0
ENST00000487399	0
ENST00000481997	282
ENST00000487178	0
