ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
19	"ENSMUSG00000097855"	"A930007I19Rik"	chr19	-	29498173	29498369	29498247	29498369	29487548	29487729	19	9,0	0,2	0,8	0,0	78	39	0.0568647935374078	0.208079275741004	1.0,0.0	NA,1.0	-0.5
23	"ENSMUSG00000024941"	"Scyl1"	chr19	-	5820230	5820580	5820344	5820580	5819748	5819839	23	92,56	4,0	47,70	0,0	78	39	0.0524156824486578	0.208079275741004	0.92,1.0	1.0,1.0	-0.04
24	"ENSMUSG00000079478"	"Znrd2"	chr19	-	5781466	5781623	5781471	5781623	5781268	5781353	24	0,20	8,19	0,0	5,6	44	39	0.0501465250242017	0.208079275741004	0.0,0.483	0.0,0.0	0.241
33	"ENSMUSG00000138644"	NA	chr19	+	7008387	7008554	7008387	7008519	7008839	7008885	33	2,3	9,0	8,5	0,0	74	39	0.0273635346535522	0.208079275741004	0.105,1.0	1.0,1.0	-0.448
45	"ENSMUSG00000097636"	"Mirt1"	chr19	-	53435206	53435744	53435586	53435744	53434771	53434914	45	285,181	154,59	298,331	111,93	78	39	0.111856577830678	0.266154429921238	0.481,0.605	0.573,0.64	-0.064
46	"ENSMUSG00000097636"	"Mirt1"	chr19	-	53435206	53435744	53435629	53435744	53434771	53434914	46	325,274	7,0	368,485	3,13	78	39	0.38094992500298	0.542868362987245	0.959,1.0	0.984,0.949	0.013
47	"ENSMUSG00000097636"	"Mirt1"	chr19	-	53435586	53435744	53435629	53435744	53434771	53434914	47	239,161	7,0	209,278	3,13	78	39	0.278249388841502	0.447333803856783	0.945,1.0	0.972,0.914	0.029
48	"ENSMUSG00000097636"	"Mirt1"	chr19	-	53435586	53435744	53435629	53435744	53435206	53435318	48	317,340	0,11	396,453	5,3	78	39	0.999202115572178	0.999202115572178	1.0,0.939	0.975,0.987	-0.011
49	"ENSMUSG00000097636"	"Mirt1"	chr19	-	53437705	53439623	53439356	53439623	53435586	53435744	49	264,247	0,0	273,458	0,10	78	39	0.200084029679739	0.371182042987362	1.0,1.0	1.0,0.958	0.021
52	"ENSMUSG00000097636"	"Mirt1"	chr19	-	53451694	53451923	53451738	53451923	53435586	53435744	52	150,84	6,0	148,175	0,11	78	39	0.679045221449044	0.824331394570137	0.926,1.0	1.0,0.888	0.019
